index,gender,region_large,region_small,age,weight,height,hobbies,user_id
30,1,Zilina Region,Kysucke New Town,2X,8X,18X,movies,24
31,0,Banská Bystrica Region,Brezno,0X,8X,18X,traveling,13
32,1,Zilina Region,Kysucke New Town,2X,8X,18X,music,37
33,1,Zilina Region,Kysucke New Town,2X,7X,18X,party,62
34,0,Nitra Region,Nitra,0X,7X,18X,music,14
35,1,Zilina Region,Kysucke New Town,2X,9X,18X,PC games,49
36,0,Zilina Region,Kysucke New Town,2X,9X,18X,discos,25
37,1,Zilina Region,Zilina,2X,7X,17X,friends,38
38,0,Zilina Region,Zilina,0X,7X,17X,movies,50
39,0,Zilina Region,Kysucke New Town,0X,5X,17X,sleeping,63
40,1,Zilina Region,Zilina,1X,5X,17X,painting,39
41,0,Zilina Region,Cadca,2X,8X,19X,camping,26
42,1,Zilina region,apartment,0X,8X,17X,surfing the web,76
43,1,Zilina Region,Kysucke New Town,2X,8X,17X,music,51
44,1,Zilina Region,Zilina,2X,8X,17X,games,27
45,1,Zilina Region,Kysucke New Town,0X,7X,17X,discos,40
46,1,Zilina Region,Kysucke New Town,0X,7X,18X,sleeping,64
47,1,Zilina Region,Kysucke New Town,2X,7X,18X,music,52
48,1,Zilina Region,Zilina,1X,3X,14X,friends,41
49,1,Zilina Region,Cadca,1X,3X,14X,hiking,28
50,1,Zilinsky region,Martin,0X,3X,14X,swim,65
51,1,Zilina Region,Zilina,2X,3X,14X,reading,77
52,1,Zilina Region,Kysucke New Town,2X,7X,18X,games,53
53,1,Zilina Region,Zilina,2X,8X,19X,music,42
54,0,Zilina Region,Kysucke New Town,1X,5X,16X,movies,29
55,0,Zilina Region,Zilina,0X,9X,17X,sports,66
56,1,Zilina Region,Kysucke New Town,2X,7X,18X,pc games,78
57,1,Zilina Region,Zilina,2X,4X,16X,music,91
58,1,Zilina Region,Zilina,2X,6X,18X,sleeping,67
59,1,Zilina Region,Kysucke New Town,1X,7X,18X,PC games,43
60,1,Zilina Region,Kysucke New Town,2X,5X,16X,dancing,30
61,1,Zilina Region,Kysucke New Town,2X,7X,18X,housework,79
62,0,Zilina Region,Kysucke New Town,2X,3X,15X,discos,92
63,1,Zilina Region,Kysucke New Town,0X,9X,18X,surfing the web,44
64,0,Zilina Region,Kysucke New Town,0X,4X,16X,sports,68
65,0,abroad,abroad - others,2X,5X,17X,discos,80
66,1,Zilina Region,Kysucke New Town,2X,5X,16X,friends,93
67,1,Zilina Region,Kysucke New Town,2X,9X,18X,swim,106
68,1,abroad,abroad - Germany,2X,9X,18X,food,94
69,1,Zilina Region,Zilina,2X,4X,16X,traveling,95
70,1,Zilina Region,Kysucke New Town,2X,5X,16X,discos,81
71,0,Zilina Region,Kysucke New Town,2X,5X,16X,movies,96
72,1,Zilina Region,Kysucke New Town,2X,8X,18X,movies,107
73,0,Zilina Region,Kysucke New Town,2X,3X,16X,...horses,82
74,1,abroad,abroad - australia,2X,5X,16X,reading,97
75,0,Zilina Region,Kysucke New Town,2X,5X,16X,sports,83
76,1,abroad,abroad - usa,0X,8X,18X,music,121
77,1,Zilina Region,Kysucke New Town,0X,6X,17X,music,108
78,0,Zilina Region,Zilina,0X,8X,17X,discos,98
79,0,Trenc region,by the way,1X,5X,16X,traveling,84
80,1,Zilina Region,Zilina,0X,5X,17X,sleeping,122
81,0,Zilina Region,Zilina,0X,15X,15X,friends,109
82,0,Zilina Region,Kysucke New Town,1X,15X,15X,cooking,99
83,0,Zilina Region,Kysucke New Town,2X,5X,15X,sleeping,85
84,1,Zilina Region,Zilina,2X,7X,18X,sports,123
85,1,Zilina Region,Zilina,2X,7X,17X,working with PC,136
86,0,Zilina Region,Kysucke New Town,2X,7X,18X,reading,110
87,1,Zilina Region,Kysucke New Town,2X,7X,18X,sports,86
88,1,Zilina Region,Kysucke New Town,1X,8X,18X,friends,111
89,0,Zilina Region,Kysucke New Town,2X,8X,18X,friends,100
90,0,Zilina Region,Cadca,2X,8X,18X,friends,45
91,1,Zilina Region,Kysucke New Town,2X,6X,16X,hiking,124
92,0,Zilina Region,Kysucke New Town,2X,5X,16X,friends,137
93,1,Zilina Region,Zilina,2X,4X,16X,fucking,87
94,1,Zilina Region,Kysucke New Town,0X,4X,16X,sleeping,125
95,1,Zilina Region,Kysucke New Town,2X,6X,18X,web surfing,112
96,0,Trnava region,gallant,2X,6X,18X,traveling,138
97,0,Zilina Region,Zilina,1X,4X,17X,working with PC,88
98,1,abroad,abroad - others,0X,4X,17X,party,151
99,1,Zilina Region,Kysucke New Town,0X,7X,17X,PC games,126
100,1,Zilina Region,Zilina,2X,18X,36X,music,101
101,0,Zilina Region,Kysucke New Town,2X,5X,16X,sports,166
102,1,Zilina Region,Kysucke New Town,2X,6X,16X,sports,113
103,1,abroad,abroad - others,0X,6X,17X,friends,139
104,1,Zilina Region,Kysucke New Town,2X,7X,18X,music,127
105,0,abroad,abroad - usa,1X,7X,18X,music,167
106,1,Zilina Region,Rajec,2X,7X,18X,discos,128
107,1,Zilina Region,Cadca,0X,4X,16X,food,102
108,1,Zilina Region,Zilina,2X,7X,17X,movies,15
109,1,abroad,abroad - others,1X,8X,18X,pc games,89
110,0,Zilina Region,Kysucke New Town,1X,8X,18X,collecting,129
111,1,Zilina Region,Kysucke New Town,0X,8X,17X,camping,54
112,1,bratislava region,bratislava - ruzinov,2X,8X,18X,friends,181
113,0,Zilina Region,Cadca,1X,7X,17X,discos,90
114,1,Zilina Region,Cadca,0X,4X,15X,party,103
115,0,Zilina Region,Kysucke New Town,0X,5X,17X,swim,168
116,0,Zilina Region,Kysucke New Town,2X,5X,17X,sleeping,140
117,1,abroad,abroad - Canada,0X,6X,16X,music,114
118,0,Kosick region,Michalovce,2X,6X,16X,dancing,182
119,1,Zilina Region,Kysucke New Town,2X,6X,17X,friends.,130
120,0,abroad,abroad - others,0X,6X,17X,sports,169
121,0,Zilina Region,Zilina,2X,5X,16X,reading,141
122,0,abroad,abroad - usa,1X,4X,16X,sports,196
123,0,Zilina Region,Zilina,1X,5X,16X,music,170
124,1,Kosick region,Michalovce,2X,7X,18X,friends,183
125,1,Zilina Region,Kysucke New Town,2X,6X,18X,friends,131
126,0,Zilina Region,Kysucke New Town,1X,6X,18X,shopping,171
127,0,Zilina Region,Kysucke New Town,2X,6X,16X,dancing,55
128,1,Zilina Region,Kysucke New Town,2X,6X,17X,friends,142
129,1,Zilina Region,Kysucke New Town,2X,6X,18X,music,172
130,1,abroad,abroad - gb,0X,7X,18X,friends,104
131,1,Zilina Region,Kysucke New Town,2X,7X,18X,food,115
132,0,Zilina Region,Kysucke New Town,1X,5X,16X,discos,56
133,0,Zilina Region,Kysucke New Town,2X,5X,16X,sports,143
134,0,abroad,abroad - France,0X,6X,18X,swim,173
135,1,Zilina region,apartment,1X,10X,19X,food,116
136,1,Zilina Region,Kysucke New Town,2X,6X,17X,party,69
137,0,Zilina Region,Kysucke New Town,1X,5X,17X,my group,57
138,0,Kosick region,Michalovce,2X,5X,17X,sports,174
139,1,abroad,abroad - France,2X,7X,18X,swim,144
140,1,Zilina Region,Kysucke New Town,2X,8X,18X,food,105
141,0,Zilina Region,Kysucke New Town,0X,4X,18X,discos,70
142,0,Nitra Region,Nitra,2X,4X,18X,working with PC,175
143,1,Zilina Region,Kysucke New Town,2X,6X,17X,shopping,117
144,0,Zilina Region,Kysucke New Town,0X,7X,17X,collecting,58
145,1,Banská Bystrica Region,Brezno,2X,7X,18X,cars,211
146,1,Zilina Region,Kysucke New Town,2X,7X,18X,having sex,118
147,0,Nitra Region,Nitra,2X,7X,18X,movies,176
148,1,Zilina Region,Kysucke New Town,2X,7X,18X,party,71
149,1,abroad,abroad - France,2X,6X,17X,sleeping,145
150,1,Zilina Region,Kysucke New Town,2X,7X,16X,movies,59
151,0,Zilina Region,Kysucke New Town,2X,8X,18X,sleeping,119
152,0,Banská Bystrica Region,Brezno,2X,5X,16X,sleeping,212
153,0,Kosick region,Michalovce,2X,4X,16X,traveling,177
154,0,Zilina Region,Kysucke New Town,1X,4X,16X,collecting,72
155,0,Zilina Region,Kysucke New Town,2X,6X,17X,computer games,146
156,1,Zilina Region,Zilina,0X,5X,16X,fuck,120
157,0,Banská Bystrica Region,Brezno,2X,5X,16X,movies,213
158,0,Zilina Region,Kysucke New Town,0X,7X,17X,friends,147
159,0,Zilina Region,Zilina,2X,7X,17X,dancing,178
160,0,Banská Bystrica Region,Brezno,2X,7X,17X,reading,226
161,0,Zilina Region,Zilina,1X,0X,66X,camping,73
162,1,bratislava region,bratislava - ruzinov,0X,0X,66X,camping,214
163,0,Zilina Region,Cadca,1X,5X,15X,music,60
164,1,Zilina Region,Kysucke New Town,0X,7X,18X,surfing the web,148
165,1,Banská Bystrica Region,Brezno,0X,7X,18X,sports,227
166,1,Banská Bystrica Region,Brezno,2X,7X,18X,painting,215
167,0,Zilina Region,Kysucke New Town,2X,6X,17X,friends,74
168,0,Kosick region,Michalovce,2X,6X,17X,surfing the web,179
169,0,Zilina Region,Zilina,2X,5X,16X,discos,241
170,1,Zilina Region,Kysucke New Town,2X,5X,16X,sports,149
171,1,Banská Bystrica Region,Brezno,2X,5X,16X,music,228
172,1,Bratislava Region,Bratislava - Dubravka,0X,6X,17X,sleeping,216
173,1,Zilina Region,Kysucke New Town,0X,7X,17X,sports,75
174,0,Kosick region,Michalovce,2X,5X,17X,sleeping,180
175,1,Zilina Region,Kysucke New Town,2X,5X,17X,movies,150
176,1,Zilina Region,Cadca,2X,5X,17X,painting,242
177,0,Banská Bystrica Region,elected,2X,5X,17X,sports,217
178,1,Banská Bystrica Region,Brezno,2X,6X,17X,reading,229
179,0,Zilina Region,Cadca,2X,6X,17X,traveling,243
180,1,Zilina Region,Zilina,2X,7X,18X,swim,256
181,0,Zilina Region,Cadca,2X,7X,18X,shopping,271
182,1,Zilina Region,Kysucke New Town,0X,7X,18X,sports,286
183,1,Banská Bystrica Region,Brezno,2X,9X,17X,surfing the web,218
184,0,Banská Bystrica Region,Brezno,2X,9X,17X,traveling,230
185,0,Zilina Region,Cadca,2X,9X,17X,traveling,272
186,0,Zilina Region,Kysucke New Town,2X,9X,17X,shopping,152
187,0,Zilina Region,Cadca,0X,9X,17X,housework,244
188,0,Trnava region,Trnava,1X,5X,16X,reading,257
189,1,Zilina Region,Zilina,0X,9X,18X,cars,287
190,1,Banská Bystrica Region,Brezno,2X,7X,18X,music,219
191,1,Zilina Region,Cadca,2X,7X,18X,traveling,273
192,1,Zilina Region,Kysucke New Town,2X,8X,18X,swim,153
193,1,Zilinsky region,beautifully above Kysucou,3X,7X,17X,friends,288
194,1,Trnava region,Trnava,2X,7X,17X,music,258
195,1,Zilina Region,Kysucke New Town,2X,7X,17X,sports,245
196,1,Bratislava region,Bratislava - others,0X,8X,18X,friends,220
197,1,Zilina Region,Kysucke New Town,2X,7X,17X,etc...,274
198,0,Zilina Region,Kysucke New Town,2X,6X,18X,seeding,154
199,1,Zilina Region,Cadca,0X,3X,14X,swim,246
200,0,Zilina Region,Cadca,2X,3X,14X,sports,259
201,0,Banská Bystrica Region,Brezno,2X,5X,17X,music,221
202,1,Zilina Region,Kysucke New Town,2X,4X,16X,all in :),155
203,0,Zilina Region,Cadca,2X,6X,18X,camping,275
204,0,Zilina Region,Cadca,1X,7X,18X,swim,247
205,1,Banska Bystrica Region,Banska Bystrica,2X,8X,18X,friends,222
206,0,Zilina Region,Cadca,0X,5X,17X,shopping,276
207,1,Zilina Region,Cadca,1X,6X,17X,kung fu,260
208,1,Zilina Region,Cadca,3X,9X,17X,friends,248
209,1,Zilina Region,Kysucke New Town,0X,9X,17X,camping,277
210,1,Bratislava Region,Bratislava - Old Town,0X,6X,17X,sports,223
211,0,Zilina Region,Cadca,1X,6X,17X,photography,249
212,0,abroad,abroad - others,2X,7X,18X,movies,278
213,1,Banská Bystrica Region,Brezno,2X,7X,17X,working with PC,224
214,1,Zilina Region,Zilina,2X,8X,19X,discos,261
215,0,Zilina Region,Cadca,2X,8X,19X,party,279
216,0,Zilinsky region,Turzovka,2X,6X,17X,sports,262
217,0,Banská Bystrica Region,Brezno,2X,8X,18X,theater,225
218,1,Zilina Region,Zilina,1X,7X,18X,music,263
219,0,Zilina Region,Cadca,0X,8X,17X,sports,280
220,1,Zilina Region,Zilina,2X,9X,19X,eating,197
221,1,Zilina Region,Zilina,2X,15X,16X,movies,184
222,1,Zilina Region,Zilina,0X,7X,17X,reading,301
223,1,Presov Region,Svidnik,2X,7X,17X,breeding,281
224,0,abroad,abroad - others,2X,6X,18X,shopping,264
225,0,Kosick region,Michalovce,2X,3X,14X,cooking,185
226,1,Zilina Region,Cadca,2X,8X,19X,sports,282
227,1,Zilina Region,Zilina,2X,12X,20X,traveling,302
228,1,Zilina Region,Cadca,2X,7X,18X,sleeping,265
229,0,Kosick region,Michalovce,2X,7X,18X,School,186
230,1,Zilina Region,Cadca,0X,7X,18X,camping,283
231,1,Zilinsky region,Martin,3X,7X,17X,movies,198
232,1,Bratislava Region,Bratislava - Petrzalka,0X,6X,17X,discotheques,303
233,0,Zilina Region,Zilina,2X,6X,17X,shopping,187
234,1,Zilinsky Region,Lower Kubin,2X,8X,19X,games,304
235,0,Zilina Region,Trstena,0X,4X,16X,movies,199
236,1,Zilina Region,Kysucke New Town,2X,9X,17X,hacking,266
237,1,abroad,abroad - others,2X,10X,18X,sleeping,132
238,1,Zilina Region,Cadca,2X,6X,18X,party,284
239,0,Zilina Region,Zilina,2X,6X,18X,sports,188
240,0,Banská Bystrica Region,Brezno,2X,8X,18X,music,200
241,1,Zilina Region,Kysucke New Town,2X,7X,18X,music,267
242,1,Zilina Region,Zilina,2X,6X,17X,music,305
243,1,Zilina Region,Kysucke New Town,2X,6X,17X,sports,133
244,0,Banska Bystrica Region,Banska Bystrica,2X,6X,17X,friends,201
245,1,Zilina Region,Cadca,2X,7X,18X,housework,268
246,1,Bratislava region,Bratislava - surroundings,0X,7X,18X,movies,189
247,1,Zilina Region,Kysucke New Town,2X,9X,18X,friends,134
248,1,Zilina region,apartment,2X,7X,17X,swim,202
249,1,Czech Republic,Czech Republic - Ostrava region,2X,7X,18X,traveling,269
250,0,Zilina Region,Kysucke New Town,2X,5X,18X,camping,135
251,0,Banská Bystrica Region,Brezno,2X,7X,18X,movies,203
252,0,Zilina Region,Cadca,2X,7X,18X,shopping,270
253,1,Banská Bystrica Region,Brezno,2X,7X,18X,sports,204
254,0,Banská Bystrica Region,Brezno,2X,6X,17X,shopping,316
255,0,Presov Region,Vranov nad Toplou,2X,6X,17X,friends,331
256,1,Zilina Region,Cadca,2X,6X,18X,painting,190
257,1,Bratislava Region,Bratislava - Vrakuna,2X,6X,16X,music,205
258,1,Zilina Region,Liptovsky Mikulas,0X,6X,17X,PC games,317
259,1,Zilina Region,Turcianske Teplice,2X,7X,19X,reading,332
260,1,Zilina Region,Zilina,2X,7X,18X,bench press,191
261,1,Banská Bystrica Region,Brezno,2X,5X,18X,movies,318
262,1,Banská Bystrica Region,Brezno,2X,9X,18X,swim,206
263,0,Banská Bystrica Region,Brezno,2X,9X,18X,music,333
264,0,Banska Bystrica Region,Banska Bystrica,2X,6X,17X,painting,207
265,0,Banská Bystrica Region,Brezno,2X,5X,16X,sleeping,334
266,0,Banská Bystrica Region,Brezno,2X,5X,15X,sleeping,192
267,0,Zilina Region,Cadca,2X,5X,16X,movies,208
268,1,Banská Bystrica Region,Brezno,2X,8X,19X,PC games,319
269,0,Banská Bystrica Region,Brezno,0X,4X,15X,party,335
270,0,Zilinsky region,Martin,2X,9X,17X,surfing the web,193
271,1,Banská Bystrica Region,Brezno,2X,7X,18X,sports,336
272,1,Banská Bystrica Region,Brezno,2X,8X,19X,movies,209
273,1,Banska Bystrica Region,Banska Bystrica,2X,5X,15X,movies,320
274,0,kosick region,kosice - surroundings,0X,6X,17X,sports,194
275,1,Banská Bystrica Region,Brezno,2X,7X,18X,sports,321
276,1,Zilina Region,Cadca,0X,5X,17X,food,195
277,1,Banska Bystrica Region,Banska Bystrica,0X,5X,17X,shopping,337
278,1,Banská Bystrica Region,Brezno,2X,5X,16X,painting,322
279,1,Trnava region,center,1X,5X,16X,sports,289
280,0,Banská Bystrica Region,Brezno,2X,4X,16X,friends,231
281,1,Banská Bystrica Region,Brezno,2X,4X,16X,friends,346
282,0,Czech Republic,Czech - Ustecky region,2X,4X,16X,hiking,323
283,0,Banská Bystrica Region,Brezno,0X,6X,16X,movies,338
284,0,Banská Bystrica Region,Brezno,2X,4X,15X,movies,347
285,1,Zilina Region,Cadca,2X,8X,18X,music,290
286,0,Bratislava Region,Bratislava - Karlova Village,2X,8X,18X,movies,324
287,0,Banská Bystrica Region,Brezno,2X,5X,16X,sports,232
288,0,Banská Bystrica Region,Brezno,2X,5X,16X,friends,339
289,0,Zilina Region,Cadca,0X,9X,17X,music,291
290,0,Presov region,Bardejov,0X,8X,17X,eating,348
291,1,Banská Bystrica Region,Brezno,2X,7X,17X,discos,325
292,0,Zilina region,apartment,0X,7X,17X,cooking,233
293,1,abroad,abroad - gb,2X,6X,17X,friends,292
294,1,Kosick region,Gelnica,0X,7X,18X,sports,340
295,0,Banská Bystrica Region,Brezno,2X,7X,18X,hiking,234
296,0,Zilina Region,Cadca,0X,3X,14X,swim,250
297,0,Zilina Region,Kysucke New Town,1X,6X,17X,swim,156
298,1,Banská Bystrica Region,Brezno,0X,6X,17X,dancing,326
299,0,Banská Bystrica Region,Brezno,2X,5X,16X,party,235
300,1,Banská Bystrica Region,Brezno,2X,5X,16X,sports,341
301,0,Zilina Region,Cadca,2X,5X,16X,painting,293
302,0,Banská Bystrica Region,Brezno,2X,5X,17X,party,327
303,1,abroad,abroad - gb,0X,8X,17X,swim,342
304,1,Zilina Region,Kysucke New Town,2X,7X,17X,sleeping,294
305,1,Zilina Region,Cadca,2X,7X,17X,swim,236
306,0,Zilina Region,Cadca,0X,5X,16X,music,157
307,0,Bratislava region,Bratislava - surroundings,0X,8X,16X,camping,328
308,1,Banská Bystrica Region,Brezno,2X,6X,17X,movies,343
309,0,Zilina Region,Cadca,2X,5X,18X,photography,237
310,1,Banská Bystrica Region,Brezno,2X,7X,17X,he fell,329
311,0,Zilina Region,Cadca,0X,6X,16X,dancing,295
312,0,Zilina Region,Cadca,0X,5X,17X,surfing the web,158
313,0,Zilina Region,Zilina,1X,5X,17X,friends,238
314,0,bratislava region,bratislava - ruzinov,2X,5X,17X,games,344
315,0,Zilina Region,Zilina,0X,5X,17X,movies,296
316,1,Banská Bystrica Region,Brezno,2X,6X,18X,discotheques,330
317,1,Zilina Region,Zilina,3X,8X,18X,hiking,297
318,0,Banská Bystrica Region,Brezno,2X,8X,18X,sleeping,345
319,0,Banská Bystrica region,krupina,1X,7X,17X,music,239
320,1,Zilina Region,Kysucke New Town,2X,7X,18X,discos,159
321,0,Banská Bystrica Region,Brezno,0X,8X,18X,painting,361
322,0,Zilina Region,Kysucke New Town,2X,8X,18X,movies,298
323,0,Czech Republic,Czech Republic - Prague,1X,8X,18X,movies,240
324,0,Zilina Region,Zilina,2X,8X,18X,traveling,376
325,0,Zilina Region,Cadca,0X,6X,16X,games,285
326,0,Banská Bystrica Region,Brezno,2X,5X,17X,swim,362
327,1,Zilina Region,Kysucke New Town,2X,7X,18X,movies,160
328,0,Banská Bystrica Region,Brezno,2X,7X,18X,dancing,377
329,0,Banská Bystrica Region,Brezno,2X,6X,17X,party,391
330,1,abroad,abroad - others,0X,6X,17X,sports,299
331,0,abroad,abroad - others,0X,7X,18X,sports,349
332,0,Banská Bystrica region,Rimava Saturday,0X,5X,16X,movies,406
333,1,Zilina Region,Zilina,1X,7X,17X,discos,300
334,0,Banská Bystrica Region,Brezno,0X,6X,17X,sports,378
335,0,Banská Bystrica Region,Brezno,2X,6X,17X,camping,392
336,0,Banská Bystrica region,Lucenec,2X,4X,16X,sitting,407
337,1,Banská Bystrica Region,Brezno,0X,4X,16X,discos,350
338,0,Zilina Region,Kysucke New Town,0X,7X,18X,friends,161
339,0,Zilina Region,Cadca,2X,5X,17X,surfing the web,421
340,1,Banská Bystrica Region,Brezno,2X,5X,17X,pc games,379
341,1,Trnava Region,Senica,0X,6X,16X,friends,393
342,0,Banská Bystrica Region,Brezno,2X,5X,16X,friends,408
343,1,Zilina Region,Kysucke New Town,2X,7X,17X,surfing the web,162
344,0,abroad,abroad - gb,2X,7X,18X,movies,351
345,0,abroad,abroad - gb,2X,7X,18X,movies,380
346,0,Zilina Region,Cadca,1X,6X,17X,reading,422
347,0,Banská Bystrica Region,Brezno,2X,7X,17X,camping,394
348,1,Zilina Region,Zilina,2X,8X,17X,friends,306
349,0,Banská Bystrica Region,Brezno,2X,8X,17X,sleeping,352
350,1,Banská Bystrica Region,Brezno,2X,8X,17X,dancing,381
351,0,Zilina Region,Cadca,1X,8X,17X,traveling,423
352,1,abroad,abroad - Canada,2X,7X,18X,sports,163
353,0,Banská Bystrica Region,Brezno,0X,7X,18X,traveling,395
354,1,Banská Bystrica Region,Brezno,4X,8X,19X,traveling,409
355,0,Banská Bystrica Region,Brezno,2X,5X,17X,music,307
356,0,Banská Bystrica Region,elected,2X,7X,16X,swim,353
357,1,abroad,abroad - others,0X,7X,17X,reading,164
358,1,Banská Bystrica Region,Brezno,3X,7X,17X,photography,396
359,1,abroad,abroad - others,0X,14X,19X,friends,410
360,1,Zilina Region,Kysucke New Town,2X,7X,17X,movies,165
361,0,Banská Bystrica Region,Brezno,2X,7X,17X,traveling,308
362,0,Banská Bystrica Region,Brezno,0X,6X,17X,photography,354
363,0,Banská Bystrica Region,Brezno,0X,6X,17X,movies,411
364,0,Banská Bystrica region,ziar nad hronom,2X,6X,17X,traveling,397
365,0,Banská Bystrica Region,Brezno,2X,6X,17X,music,309
366,1,Banská Bystrica Region,Brezno,2X,8X,18X,party,355
367,0,Zilina Region,Zilina,2X,6X,16X,reading,436
368,1,Banská Bystrica Region,Brezno,2X,7X,16X,music,398
369,1,Banská Bystrica Region,Brezno,2X,7X,17X,music,310
370,1,Banská Bystrica Region,Brezno,2X,7X,18X,traveling,356
371,1,Zilinsky region,Martin,2X,5X,17X,weaving,437
372,1,Trnava Region,Senica,2X,6X,16X,music,399
373,0,Banská Bystrica Region,Brezno,2X,6X,16X,sports,357
374,1,Banska Bystrica Region,Banska Bystrica,2X,5X,17X,surfing the web,311
375,0,Zilinsky region,Martin,2X,5X,17X,movies,438
376,1,Trnava Region,Skalica,2X,5X,17X,discos,400
377,1,Banska Bystrica Region,Banska Bystrica,2X,7X,18X,sports,312
378,0,Banská Bystrica Region,Brezno,2X,6X,16X,photography,358
379,1,Zilina Region,Cadca,2X,7X,17X,games,439
380,0,Banská Bystrica Region,Brezno,0X,7X,17X,painting,401
381,0,Zilina Region,Zilina,2X,5X,17X,friends,440
382,0,Banská Bystrica Region,Brezno,2X,7X,17X,friends,313
383,0,Banska Bystrica Region,Banska Bystrica,2X,5X,16X,PC games,359
384,0,Banská Bystrica Region,Brezno,2X,5X,16X,movies,402
385,0,Banská Bystrica Region,Brezno,2X,5X,16X,swim,314
386,0,abroad,abroad - gb,2X,8X,18X,party,441
387,0,Banská Bystrica Region,Brezno,0X,8X,18X,dancing,360
388,1,Banská Bystrica Region,Brezno,2X,9X,17X,sleeping,403
389,1,Banská Bystrica Region,Brezno,2X,7X,18X,hacking,315
390,0,Zilinsky region,Martin,2X,5X,15X,theater,442
391,0,Banská Bystrica Region,Brezno,2X,5X,15X,discos,210
392,1,Zilina Region,Kysucke New Town,1X,6X,17X,friends,451
393,1,Banská Bystrica Region,Brezno,2X,7X,17X,music,404
394,1,Zilinsky region,Martin,2X,6X,17X,games,443
395,1,Zilina Region,Kysucke New Town,1X,4X,16X,sports,466
396,1,Zilina Region,Kysucke New Town,1X,7X,18X,movies,452
397,1,Zilina Region,Kysucke New Town,2X,999999999X,999999999X,cooking,453
398,1,Zilina Region,Cadca,1X,7X,17X,networking,454
399,1,Zilina Region,Cadca,1X,7X,17X,movies,455
400,0,Zilina Region,Kysucke New Town,1X,18X,5X,dancing,481
401,0,Zilina Region,Zilina,1X,3X,15X,determination,251
402,0,Zilina Region,Kysucke New Town,1X,3X,15X,housework,482
403,0,Zilina Region,Zilina,2X,7X,19X,piano,252
404,0,Zilina Region,Cadca,2X,6X,17X,discos,253
405,1,Zilina Region,Durvosin,2X,9X,18X,reading,363
406,0,Zilinsky region,Martin,2X,9X,18X,party,444
407,0,Trnava region,Trnava,0X,9X,18X,traveling,254
408,0,kosick region,kosice - dargov heroes,2X,9X,18X,party,445
409,0,Banská Bystrica Region,Brezno,2X,5X,16X,traveling,382
410,1,Banská Bystrica region,Rimava Saturday,2X,9X,19X,motorbike,405
411,0,Zilina Region,Cadca,2X,9X,19X,traveling,255
412,1,Zilina Region,Cadca,1X,9X,19X,dancing,456
413,0,Zilina Region,Zilina,0X,4X,16X,friends,496
414,0,Zilina Region,Kysucke New Town,1X,4X,16X,friends,511
415,1,Zilina Region,Kysucke New Town,2X,7X,17X,swim,457
416,1,Zilina Region,Ruzomberok,2X,7X,16X,sports,446
417,1,Kosick region,Gelnica,2X,7X,16X,dancing,447
418,1,Zilina Region,Kysucke New Town,2X,10X,19X,discos,512
419,0,Zilina Region,Kysucke New Town,0X,4X,17X,sports,458
420,0,Zilina Region,Kysucke New Town,0X,5X,16X,party,448
421,0,Zilina Region,Kysucke New Town,0X,7X,19X,shopping,513
422,1,Zilina Region,Cadca,1X,7X,19X,sports,467
423,1,Zilina Region,Cadca,1X,7X,19X,sports,459
424,0,Zilina Region,Zilina,0X,4X,16X,sports,449
425,0,Zilina Region,Kysucke New Town,0X,5X,15X,traveling,514
426,0,Zilina Region,Kysucke New Town,0X,4X,16X,hiking,483
